property_name,link,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,description,facing,highlights,features_list,property_id,ownership,gated_community,bedrooms,bathrooms,balcony,others,floor,overlooking,age,furnish_type,nearby_locations_list,rating,rating_details,furnish_details_list,features
"Charkop, Kandivali West, Western Mumbai",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-charkop-mumbai-andheri-dahisar-1800-sq-ft-spid-J82727598,"4 Bedroom House for sale in Charkop, Kandivali West",₹4 Cr,"₹22,222 /sqft",,1800.0,,A one of a kind independent house in a prime locality facing a garden and school,North,[],[],J82727598,Freehold,,4 Bedrooms,4 Bathrooms,No Balcony,,2 Floors,Park/Garden,10+ Year Old,Semifurnished,"['Charkop Market', 'Hunuman Mandir', 'Shri Vitthal Mandir', 'Hanuman Temple', 'Amba Mata Mandir', 'Durgeshwari Temple', 'Hdfc ATM', 'Kotak mahindra bank ATM', 'Idbi bank ATM', 'Oscar hospital charkop naka', 'Shivam Nursing Home Mumbai', 'Shakuntala Maternity Home', 'Dr.Reena Mokal Nursing Home and Polyclinic', 'Matushree Maternity Surgical and General Nursing Home', 'Shree Nagesh Childrens Hospital', 'Gyatri Maternity and Gynaec Clinc', 'Jaydeep Eye and Physiotherapy Clinic - Kandivli', 'Charkop Maternity Home', 'BMC Hospital', 'Saraswati Hospital Kandivali', 'Aayush Nursing Home', 'Anand Nursing Home Kandivali', 'Oscar Hospital', 'Kirti Nursing Home', 'Government General Hospital Malwani Malad', 'Sumangal Hospital', 'Sai Care Clinic', 'Arya Womens Health Care Centre Surgical and Maternity Home', 'Mangal Murti Hospital and Polyclinic', 'Raichura Prasuti Gruha', 'Medicenter Nursing Home', 'Parvatibai Chavan Charitable Trust', 'Bahl Nursing Home - Malad W', 'Dhanukar Wadi Dispensary', 'Grace Maternity and Nursing Home - Kandivli W', 'Nobel Chemist', 'Petrol Pump', 'Petrol Pump', 'New india cop bank', 'Dena bank', 'Disha Restaurant & Bar', 'Kokan Kinara', 'Bhagwati Hotel', ""Domino's"", 'YOGITA RESTAURANT', 'Nityananad Bar & Restaurant', 'FRIENDS KATTA', 'Sankalp', 'Billabong International School', 'Atharva College of Engineering']",4.3,"{'Connectivity': 4.4, 'Lifestyle': 4.3, 'Safety': 4.2, 'Green Area': 4.0}","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '12 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Water Storage']"
"Kandivali West, Mumbai, Western Mumbai",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-kandivali-west-mumbai-andheri-dahisar-4500-sq-ft-r5-spid-T74874465,"6 Bedroom House for sale in Kandivali West, Mumbai",₹18 Cr,"₹40,000 /sqft",,4500.0,,"Step into the realm of opulence and luxury with this magnificent 6 bhk independent bungalow nestled in the heart of the vibrant s v road, kandivali west. Spread across a sprawling 4500 sq. Feet of pure elegance, this fully furnished abode awaits to embrace you with its charm and sophistication. Leave your worries at the doorstep as this bungalow comes sans the white goods, offering you a blank ...",East,['+2'],[],T74874465,Freehold,,6 Bedrooms,7 Bathrooms,No Balcony,Pooja Room,2 Floors,Others,10+ Year Old,Furnished,"['SMVS Swaminarayan Temple', 'Canara bank ATM', 'Rbl bank ATM', 'Jobanputra Clinic', 'Dr.Babasaheb Ambedkar Bmc General Hospital', 'Dalvi Hospital', ""Dr. Disha's Homoeopathy"", 'Pratik Hospital and Maternity Home', 'Shah Surgical Hospital and Maternity Home P. Ltd.', 'Aditya Eye Clinic Kandivali', 'Vrindavan Nursing Home', 'Paarth Hospital', 'Ankur Hospital Kandivali', 'Dr. Masurkar Hospital', 'Panorama Eye Clinic Superspeciality Eye Care', 'Nidhi Nursing Home and Iccu', 'Vardann Multi Speciality Hospital', 'Amar Nursing Home', 'Usha Maternity Home', 'Khm Medical Centre Shree Kandivli Hitwardhak Mandal Kandivali', ""Dr. Vora's Premature Critical Care and General Hospital"", 'Paras Nursing Home', 'Sai Vilayatrai Charitable Polyclinc', 'Laxmi Clinic - Kandivli - Mumbai', 'Dhiraj Hospital', 'Shree Krishna Hospital', 'Hi-Tech Urology Centre', 'Shreeji Kripa Surgical Center Icu and Nursing Home', 'Saibaba Maternity and Nursing Home', 'Namaha Hospital', 'Kandivali E', 'Corporation bank', 'Icici bank', 'Cosmos bank', 'Union bank', 'State bank of india', 'Kotak bank', 'Hdfc bank', 'Bank of baroda', 'Indian bank', 'Savor Family Resto Bar', 'jinus corner', 'Akkad Bakkad', 'Bhagwati', 'Modern sweets and farsan', 'Starbucks', 'K.E.S Shroff college ground', 'Shri tp bhatia college', 'Our Lady Of Remedy High School and Church', 'Kandivali railway station']",4.3,"{'Connectivity': 4.4, 'Lifestyle': 4.3, 'Safety': 4.3, 'Green Area': 4.1}","['1 Bed', '1 Wardrobe', '2 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms']"
Reay Chamber,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-reay-chamber-mazgaon-south-mumbai-300-sq-ft-spid-Z83488542,"1 Bedroom House for sale in Mazgaon, Mumbai",₹60 Lac,"₹20,000 /sqft",,,,"I have a house/villa available for sale in fort, mumbai. Available at price of rs 60 lacs. It has plot area of 300 sq ft. It has 1 rk, 1 bathroom, 1 balcony.It is a leasehold property",,[],[],Z83488542,Leasehold,,1 Bedroom,1 Bathroom,1 Balcony,,4 Floors,,5 to 10 Year Old,,"['Qamar', 'Darkhana Jamatkhana', 'Khoja Jama Masjid', 'Masjid', 'Sayyed Ashiq Shah Bukhari Dargah Masjid', 'Shaar Harahamim Synagogue', 'St Ignatius Church Mandvi', 'Etz Haeem Prayer Hall', 'Khatri Masjid', 'Kazi Masjid', 'Kwan Tai Shek Temple', 'Shree Mumbadevi Temple', 'Raza Jame Masjid', 'Dcb bank ATM', 'Idbi ATM', 'General Hospital Janabai Rokade', 'Jaslok Hospital', 'Smt.Laxmiben Dhanji Devshi Health Centre', 'Habib Hospital', 'The Muslim Ambulance Society Diagnostic Center', 'Dholkawalla Maternity Home', 'Noor Hospital', 'Walpakhadi Municipal Dispensary', 'M.H. Saboo Siddique Maternity and General Hospital - Masjid', 'Saifee Ambulance', 'Munna General Store', 'Wadi Bunder C.S.T Station', 'Indian oil', 'Badhoda bank', 'Cheap and good Food', 'chanda cafe shop', 'best dosa of your life', 'Cafe Islam', 'Ahmadi', 'Best dosa of your life', 'Azad', 'Shimla Cold Drinks', 'New Jai Hind Restaurant', ""Traveler's Coffee"", 'Hindustan Restaurant', 'Food corner', 'Radio Restaurant', 'Iranian food', 'Shalimar', 'Noor Mohammadi Hotel', 'Badshah Falooda Place', 'Orchids The International School', 'Masjid railway station', 'Sandhurst road railway station', 'Sandhurst road railway station']",4.3,"{'Connectivity': 4.4, 'Lifestyle': 4.3, 'Safety': 4.3, 'Green Area': 4.1}",[],[]
"Karjat, Thane, Thane Outskirts",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-karjat-mumbai-beyond-thane-1160-sq-ft-spid-I82212572,"2 Bedroom House for sale in Karjat, Thane",₹98 Lac,"₹10,208 /sqft",,960.0,1160.0,"Investing in a villa is a significant financial and lifestyle decision, especially in a prime location like karjat, which offers a harmonious blend of nature, connectivity, and modern amenities. Understanding the value of a villa goes beyond its price tag; It requires careful consideration of several factors to ensure your investment is sound and rewarding. Here, we provide a detailed guide to ...",West,['+2'],[],I82212572,Freehold,Yes,2 Bedrooms,2 Bathrooms,1 Balcony,"Pooja Room,Study Room,Servant Room,Others",2 Floors,"Pool,Park/Garden,Club,Main Road,Others",0 to 1 Year Old,Furnished,"['Dr. Sabale Orthopaedic Hospital', 'Mayur Clinic Sabne Hospital', 'Dr. Manali Clinic', 'SDH', 'Dr. Nazirkar Shree Narayan Hospital', 'Dr. Sonavane Hospital', ""Dr. Chavan's Sonography Clinic"", 'Deshmukh Children Hospital', 'Shri Rajendra Clinic', 'State bank of india', 'KGCE Canteen', 'Dattakrupa Snacks Corner', 'khairat primary school', 'Karjat railway station']",3.9,"{'Connectivity': 4.0, 'Lifestyle': 3.7, 'Safety': 3.9, 'Green Area': 4.2}","['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '8 Light', '3 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Stove']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']"
"Karjat, Thane, Thane Outskirts",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-karjat-mumbai-beyond-thane-3000-sq-ft-spid-X80048725,"3 Bedroom House for sale in Karjat, Thane",₹60 Lac,"₹1,833 /sqft",,,,"Na plot 11 km karjat railway station, 3 km schools, 4 km, radisson blu hotel",East,['+2'],[],X80048725,Freehold,,3 Bedrooms,3 Bathrooms,1 Balcony,,,"Sea facing,Main Road",1 to 5 Year Old,Furnished,"['Dr. Sabale Orthopaedic Hospital', 'Mayur Clinic Sabne Hospital', 'Dr. Manali Clinic', 'SDH', 'Dr. Nazirkar Shree Narayan Hospital', 'Dr. Sonavane Hospital', ""Dr. Chavan's Sonography Clinic"", 'Deshmukh Children Hospital', 'Shri Rajendra Clinic', 'State bank of india', 'KGCE Canteen', 'Dattakrupa Snacks Corner', 'khairat primary school', 'Karjat railway station']",3.9,"{'Connectivity': 4.0, 'Lifestyle': 3.7, 'Safety': 3.9, 'Green Area': 4.2}","['2 Bed', '1 Wardrobe', '3 Fan', '1 Sofa', '1 Geyser', '6 Light', '2 AC', '1 TV', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Rain Water Harvesting', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Rain Water Harvesting']"
On Request,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-6-vashi-navi-mumbai-1500-sq-ft-r6-spid-W64646668,"2 Bedroom House for sale in Sector 6 Vashi, Navi Mumbai",₹1.9 Cr,"₹12,666 /sqft",,,1500.0,It's a beautiful individual row 2bhk....Semi furnished...Main road...Near by sagar vihar....Near by market and schools...Parking available...,East,['+2'],[],W64646668,Freehold,,2 Bedrooms,2 Bathrooms,No Balcony,Others,1 Floors,"Park/Garden,Main Road,Others",10+ Year Old,Unfurnished,"['Inorbit Mall', 'Alliance Church', 'Shiv Temple', 'Sai Baba Mandir', 'Sterling Wockhardt Hospital', 'Surya Netralaya', 'Dhrushti Eye Clinic and Microsourgery Centre', 'Laksh Deep Hospital', 'Navjeevan Hospital', 'Dr. Parikhs Nursing Home and Iccu -', 'Thanawala Maternity Home', 'Thanawalas Maternity Home & IVF Clinic', 'Zaveri Eye Clinic', 'Dr. Tilwe Maternity and Nursing Home', 'Global 5 Health Care Centre', 'Dr Yewale Multispeciality Hospital For Children', 'Dr. Kunnure Hospital and Iccu', 'Lotus Multispeciality Hospital and Icu', 'Mohanlal Jivandas Hospital managed by Krishnai Hospital', 'Uma Hospital', 'Dr. Shubha Rao', 'Pkc Hospital', ""Dr. R.N. Patil's Suraj Neurologiacal and Multispeciality Hospital"", 'Vinamra Swaraj Hospital', 'Ashirwad Hospital Maternity Surgical and General', 'Sanpada General Hopital', 'Vashi', 'Dena bank', 'Hdfc bank', 'The maharashtra state co-operative bank ltd', 'South indian bank', 'State bank of india', 'Vishnudas Bhave Natyagruha', 'Navratna Veg Restaurant -', ""McDonald's"", 'Hotel Golden Punjab', 'Hotel Shabari', 'Cafe Cofee Day', 'Bhaghat Tarachand', 'Royal Oak Brewery', 'Hotel Bhagat Tarachand', 'Blue Diamond Hotel', 'Vashi railway station', 'Sanpada railway station', 'Haware Business Park', 'Cht.sahu maharaj vachnalaya library']",4.0,"{'Connectivity': 4.0, 'Lifestyle': 3.9, 'Safety': 4.1, 'Green Area': 4.1}",[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']"
Indiabulls Golf City,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-indiabulls-golf-city-khalapur-navi-mumbai-2448-sq-ft-r4-spid-V76057949,"3 Bedroom House for sale in Khalapur, Navi Mumbai",₹2.65 Cr,"₹9,599 /sqft",,,,"Off mumbai-Pune expressway
Within close proximity to the navi mumbai international airport
9 mins from adlabs imagica
75 mins approx. From south mumbai (Via upcoming mumbai trans harbour link)
30 mins from lonavala
20 mins from navi mumbai
80 mins from thane.
Reday to move property.",East,['+2'],[],V76057949,Freehold,Yes,3 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,2 Floors,"Park/Garden,Others",0 to 1 Year Old,Unfurnished,"['Apta Railway Station', 'Susan Mall, Khopoli', 'MH SH104', ""St Mary's School"", ""Vishwaniketan's Institute of Mgmt"", 'Paranjape Surgical&Maternity Hosp', 'Chhatrapati Shivaji Maharaj Intl Airport', 'Novotel Imagicaa Khopoli', 'I for India', '9 Aces Golf Greens&Academy', 'Kick-Flick Sports Arena']",,{},[],"['High Ceiling Height', 'Swimming Pool', 'Separate entry for servant room', 'Park', 'Rain Water Harvesting', 'High Ceiling Height', 'Swimming Pool', 'Separate entry for servant room', 'Park', 'Rain Water Harvesting']"
"Murbad, Thane, Thane Outskirts",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-murbad-mumbai-beyond-thane-3500-sq-ft-r1-spid-S79041853,"4 Bedroom House for sale in Murbad, Thane",₹95 Lac,"₹2,714 /sqft",,,,"4bhk independent house and villa available at sell near murbad village. Area is 3500 sq.Ft and build up area is 3000 sq.Ft. 24 hrs water and electricity avaialble. Borwell done. 2 bathroom, 2 washrom, pooja room, servant room, store room, sapicous hall. Solar panel . Garden at front and back side. Sapious interious with all amities available. Near by market, hospital, school and college. Walkin...",North-East,['+2'],[],S79041853,Freehold,Yes,4 Bedrooms,4 Bathrooms,1 Balcony,"Pooja Room,Study Room,Store Room",2 Floors,"Park/Garden,Main Road,Others",5 to 10 Year Old,Furnished,[],3.9,"{'Connectivity': 4.0, 'Lifestyle': 3.7, 'Safety': 4.0, 'Green Area': 4.0}","['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '7 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors']"
"Sector 2 Airoli, Navi Mumbai",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-2-airoli-navi-mumbai-14-sq-ft-spid-Z83592226,"2 Bedroom House for sale in Sector 2 Airoli, Navi Mumbai",₹47 Lac,"₹326,615 /sqft",,,,"Address: C_529,sector 2,airoli,navi mumbai
Cidco 
5 min walking from station 
Ss_1
Airoli",East,[],[],Z83592226,Freehold,,2 Bedrooms,2 Bathrooms,No Balcony,,1 Floors,,5 to 10 Year Old,Unfurnished,"['Jai Bhawani Dainandin Bazaar', 'Jama Masjid', 'Visheshwar Mandir', 'Sankat Mochak Hanuman Mandir', 'Baba Fakhruddin Shah Dargah', 'Saibaba Temple', 'Icici ATM', 'Mody Hospital Iccu', 'Avadhoot Hospital and Iccu', 'Sanjivni Hospital Thane', 'NMMC MCH', 'Shree Eye Clinic', 'Indravati Hospital', 'Sai Seva Hospital and Icu Mumbai', 'Aayush Multispeciality Hospital', 'Suruchi Eye Centre', 'Disha Hospital', 'Gandhi Hospital - Navi Mumbai', 'Asha Hospital and Iccu', 'National Burns Center', ""Dr. Doke's Shraddha Hospital"", 'Criti Care Iccu Multispeciality and Trauma Centre', 'Jasmine Hospital And Wow Clinic', 'KRYPTON Heritage Health Care', 'Parulekar Hospital', 'NMMC Hospitals', 'Dr.Mahajan Hospital and Industrial Trauma Center', 'Dr Manes Gawali Hospital', 'Gigaplex IT Park', 'Sigma IT Park', 'Airoli Bus Depot', 'State bank of india', 'Chai Tales', 'Sainidhi', 'Prajakta Poli Bhaji Kendra', 'Smt. Sushiladevi Deshmukh Vidyalaya', 'Pes junior college of science', 'Airoli railway station', 'Digha railway station', 'Rabale railway station', 'Lionbridge Ltd Inc']",3.9,"{'Connectivity': 4.1, 'Lifestyle': 3.9, 'Safety': 3.9, 'Green Area': 3.6}",[],"['Water Storage', 'Water Storage']"
"Boisar, Mumbai, Beyond Mira Road",https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-boisar-mumbai-1090-sq-ft-spid-O83586416,"1 Bedroom House for sale in Boisar, Mumbai",₹29 Lac,"₹2,660 /sqft",,,1090.0,"On the lookout for a spacious house in beyond mira road? Go for this 1 bhk house for sale in boisar, a well-Connected locality within beyond mira road. The floor plan additionally contains 1 bedroom, 1 bathroom . All in all, the independent house is spread over a built up area of 1090 sq.Ft. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. ...",,[],[],O83586416,Freehold,,1 Bedroom,1 Bathroom,No Balcony,,1 Floors,,undefined,Unfurnished,"['Laxmi vilas bank ATM', 'Axis bank ATM', 'Indicash ATM', 'State bank ATM', 'Bank of baroda ATM', 'Sai Sakshi Maternity Hospital', 'TIMA Hospital', 'Madhavbaug Clinic', 'Vikas Hospital', 'Rural Hospital', 'Redplus Multispeciality Hospital', 'Sanjivani Hospital', 'Rutunandan Dental Clinic', 'Sai Nit', 'Saileela Hospital -', 'Vatsalya Maternity Hospital', 'Life Line Hospital', 'Dr. Kiti Bajpeyee', 'Vartak Hospital', 'Balaji Children Hospital', 'Abhinav Diabetes Care Clinic', 'Ashirwad Clinic', 'Boisar Nursing Home', ""Birthcare Women's Health Clinic"", 'ENT Hospital Boisar Nursing Home', 'Shri Sidhdhivinayak Fertility centre', 'Happydent Dental Clinic', 'Varad Hospital and Critical Care Centre', 'Anand General Hospital -', 'Shinde Hospital', 'Suryaraju Hospital', 'Vishwakarma Clinic', ""Dr. Zoeb's Central Nursing Home"", 'Subhas Shankhe Hospital', 'Chinmaya Hospital', 'Laxmi vilas bank', 'Bikaner', 'Boisar railway station']",,{},[],[]
"Hatkesh Udhog Nagar, Mira Road East, Mira Bhayandar",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-hatkesh-udhog-nagar-mira-bhayandar-2200-sq-ft-spid-E83583776,"4 Bedroom House for sale in Hatkesh Udhog Nagar, Mira Road East",₹1.8 Cr,"₹8,181 /sqft",,,,Own water connection gas service available,,[],[],E83583776,Co-operative Society,,4 Bedrooms,3 Bathrooms,2 Balconies,,2 Floors,,10+ Year Old,,[],4.2,"{'Connectivity': 4.2, 'Lifestyle': 4.1, 'Safety': 4.2, 'Green Area': 4.1}",[],[]
Prem Karan Complex,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-prem-karan-complex-mira-road-east-mira-bhayandar-2000-sq-ft-spid-R83566370,"4 Bedroom House for sale in Mira Road East, Mira Bhayandar",₹2.3 Cr,"₹11,500 /sqft",,,,"We have a house/villa available for sale in mira road east, mira bhayandar. Available at price of rs 2.3 crores. It has plot area of 2000 sqft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property",,[],[],R83566370,Freehold,,4 Bedrooms,3 Bathrooms,1 Balcony,,2 Floors,,5 to 10 Year Old,,[],4.3,"{'Connectivity': 4.4, 'Lifestyle': 4.2, 'Safety': 4.2, 'Green Area': 4.1}",[],[]
rice home society chs phase 1,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-taloja-navi-mumbai-410-sq-ft-spid-G83548096,"1 Bedroom House for sale in Taloja, Navi Mumbai",₹35 Lac,"₹8,536 /sqft",,,,"We are proud owners of house/villa available for sale in taloja, mumbai navi. Available at price of rs 35 lacs. It has plot area of 410 sq ft. It has 1 bhk, 1 bathroom, balcony.It is a freehold property",,[],[],G83548096,Freehold,,1 Bedroom,1 Bathroom,No Balcony,,4 Floors,,5 to 10 Year Old,,"['Sri Sai Clinic', 'Aasha Hospital', 'Jeevandeep Hospital', 'Shree Narayani Eye Hospital & Surgery Centre', ""Tathastu Women's Hospital"", 'Ayesha Hospital', ""Shri Samarth Children's Hospital"", 'Holkar Multispeciality Hospital & Dental Care', 'Pallavi Avida', 'Utsav Restaurant', 'Tawa Delight', 'chaitra cafe', 'Navade road railway station', 'Kalamboli railway station']",4.1,"{'Connectivity': 4.1, 'Lifestyle': 4.1, 'Safety': 4.1, 'Green Area': 3.9}",[],[]
Indira Nagar,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-ramgad-nagar-central-mumbai-suburbs-150-sq-ft-spid-T83426852,"1 Bedroom House for sale in Ramgad Nagar, Mulund West",₹21 Lac,"₹14,000 /sqft",,120.0,,"On the lookout for a spacious house in central mumbai? Go for this 1 bhk house for sale in ramgad nagar, a well-Connected locality within central mumbai. Containing 1 bedroom, 1 bathroom , this independent house is spread over a super built up area of 150 sq.Ft. This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying ...",East,[],[],T83426852,Freehold,,1 Bedroom,1 Bathroom,No Balcony,Others,1 Floors,,10+ Year Old,Unfurnished,"['Jalaram Mandir', 'Shri Icchapurti Ganesh Mandir', 'South Indian Temple', 'Sai Darbar Sai Mandir', 'Shri Balaji Mandir', 'RPF temple', 'Nirvaneshwar Mahadev Mandir', 'Babaji ki Jhopdi', 'Bajrangbali Mandir', 'Jhulelal Mandir', 'Sri Gurudev Dutta Mandir', 'Datt Mandir', 'Svc bank ATM', 'State bank of india ATM', 'Pooja Nursing Home Pvt. Ltd.', 'Suyog Hospital and Iccu', 'Dr. Simandhar Eye Clinic', 'Holy Trinity Hospital', 'Devkunj Charitablr Trust Matushri Mankbai Nagji Sa', 'Shraddha Polyclinic and Nursing Home', 'Surya Eye Institute and Research Centre', 'Lakshmi Nursing Home Mumbai', 'Zen Hospital', 'Shree Sai Maternity and Surgical Nursing Home', 'Aparna Hospital Mulund W', 'Malini Hospital', 'Jupiter Scan Centre', 'Clinico Patho Lab', 'Paritaj Kidney Hospital', 'Omkar Eye Care Center', 'CGHS Dispensary No.19 Mulund', 'Apex Kidney Care', 'Drishti Eye Care Centre', 'Apex Kidney Care Dialysisnetworks', 'Ashirwad Critical Care Unit', 'Upasani Hospital', 'Canara bank', 'Icici bank', 'Svc bank', 'Karur vysya bank', 'State bank of india', 'State bank of india mulund e', 'Cafe Bambai', 'Jai Ambe Fast food', 'Achija', 'Cafe Coffee Day', 'Akshay Food Plaza', 'Shree Tara Pure Veg', 'Hotel Kapil', 'Golden Vadapav']",,{},[],[]
Shah Mahavir Roshan,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-shah-mahavir-roshan-nerul-navi-mumbai-40000-sq-ft-spid-Y83543896,"5 Bedroom House for sale in Nerul, Navi Mumbai",₹6 Cr,"₹1,500 /sqft",,,,"I have a house/villa available for sale in panvel, mumbai. Available at price of rs 6 crores. It has plot area of 40000 sq ft. It has 5 bhk, 10 bathroom, 2 balcony.It is a freehold property",,[],[],Y83543896,Freehold,,5 Bedrooms,10 Bathrooms,2 Balconies,,4 Floors,,1 to 5 Year Old,,"['CIDCO Pay & Park', 'L&T Seawoods Parking', 'SGC Mall', 'CIDCO Pay & Park', 'Gramdevi Mandir', 'Ganesh Mandir', 'Corporation bank ATM', 'Raj Hospital Mumbai', 'Bansal Specialty Clinic', 'Patoriya Eye Hospital', 'Shivam Eye Foundation P P N', 'Anurag Nursing Home', 'Surya Hospital and Iccu', ""Dr. Sonawane's Hospital"", 'Suyash Hospital', 'Army Medical Facility', 'Eyemax Super Speciality Eye Centre', 'Aryan Hospital', 'Sanjivani Hospital and Iccu', 'Ojas Nursing Home', 'Chaitanya Child Care Centre', 'Manak Healthcare Hospital', 'Harish Hospital and Iccu', 'Kamlesh Mother and Child Hospital', 'Mahanagar CNG station', 'State bank of india', 'Canara bank', 'Kotak mahindra bank', 'Oriental bank of commerce', 'Karnataka bank', 'Andhra bank', 'Hdfc bank', 'Axis bank', 'Kayur vysya bank', 'Central bank of india', 'State bank of india', 'Abhyudaya co-operative bank', 'Icici bank', 'Max Movies', 'Amphitheater', 'Jewel Amphitheatre', 'SIES Amphitheatre', 'Momos', ""Domino's"", ""McDonald's"", 'Health Juice and Fast Food', 'Tea Junction', 'Malvan Tadka', 'Nerul railway station', 'Seawoods railway station']",4.4,"{'Connectivity': 4.4, 'Lifestyle': 4.3, 'Safety': 4.3, 'Green Area': 4.3}",[],[]
